[2023-12-21 03:01:59,535][INFO] 
===== FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8ca0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb597bdc0>
===== end of FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====

[2023-12-21 03:01:59,535][INFO] ===== start repair ======
[2023-12-21 03:01:59,535][INFO] For pgd attack net
[2023-12-21 03:02:01,635][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 03:02:04,384][INFO] --load the trainset and testset as testing set
[2023-12-21 03:02:04,392][INFO] --evaluate the original net on testset
[2023-12-21 03:02:04,393][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:04,393][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 03:02:05,137][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:12,518][INFO] --epoch 61 loss 0.022392128698993475
[2023-12-21 03:02:12,642][INFO] --epoch 62 loss 0.022958067420404404
[2023-12-21 03:02:12,767][INFO] --epoch 63 loss 0.023687025881372392
[2023-12-21 03:02:12,893][INFO] --epoch 64 loss 0.02379100252292119
[2023-12-21 03:02:13,012][INFO] --epoch 65 loss 0.02485090042464435
[2023-12-21 03:02:13,130][INFO] --epoch 66 loss 0.025666714558610693
[2023-12-21 03:02:13,246][INFO] --epoch 67 loss 0.022883540549082683
[2023-12-21 03:02:13,362][INFO] --epoch 68 loss 0.02377767951693386
[2023-12-21 03:02:13,481][INFO] --epoch 69 loss 0.03735683729173615
[2023-12-21 03:02:13,600][INFO] --epoch 70 loss 0.03094211095594801
[2023-12-21 03:02:13,715][INFO] --epoch 71 loss 0.02878115002531558
[2023-12-21 03:02:13,832][INFO] --epoch 72 loss 0.040327384445117784
[2023-12-21 03:02:13,949][INFO] --epoch 73 loss 0.04379454443696886
[2023-12-21 03:02:14,060][INFO] --epoch 74 loss 0.05339440997922793
[2023-12-21 03:02:14,175][INFO] --epoch 75 loss 0.1483780886279419
[2023-12-21 03:02:14,295][INFO] --epoch 76 loss 0.0536591047886759
[2023-12-21 03:02:14,411][INFO] --epoch 77 loss 0.07586348823970183
[2023-12-21 03:02:14,526][INFO] --epoch 78 loss 0.0656359230983071
[2023-12-21 03:02:14,644][INFO] --epoch 79 loss 0.03663929731119424
[2023-12-21 03:02:14,761][INFO] --epoch 80 loss 0.0648033436445985
[2023-12-21 03:02:14,877][INFO] --epoch 81 loss 0.11420042649842799
[2023-12-21 03:02:14,993][INFO] --epoch 82 loss 0.14545583915896715
[2023-12-21 03:02:15,111][INFO] --epoch 83 loss 0.11762245818972587
[2023-12-21 03:02:15,229][INFO] --epoch 84 loss 0.11377256659325212
[2023-12-21 03:02:15,348][INFO] --epoch 85 loss 0.10967617006972433
[2023-12-21 03:02:15,463][INFO] --epoch 86 loss 0.31872370704077185
[2023-12-21 03:02:15,577][INFO] --epoch 87 loss 0.11401861866470427
[2023-12-21 03:02:15,695][INFO] --epoch 88 loss 0.050648523907875644
[2023-12-21 03:02:15,812][INFO] --epoch 89 loss 0.04170689898310229
[2023-12-21 03:02:15,930][INFO] --epoch 90 loss 0.050684487377293405
[2023-12-21 03:02:16,048][INFO] --epoch 91 loss 0.10163096451433376
[2023-12-21 03:02:16,161][INFO] --epoch 92 loss 0.08491372440475971
[2023-12-21 03:02:16,274][INFO] --epoch 93 loss 0.16468871789984404
[2023-12-21 03:02:16,388][INFO] --epoch 94 loss 0.11947382176294923
[2023-12-21 03:02:16,503][INFO] --epoch 95 loss 0.13342596315778793
[2023-12-21 03:02:16,617][INFO] --epoch 96 loss 0.0917118491139263
[2023-12-21 03:02:16,731][INFO] --epoch 97 loss 0.06560846387874335
[2023-12-21 03:02:16,844][INFO] --epoch 98 loss 0.039324239874258635
[2023-12-21 03:02:16,958][INFO] --epoch 99 loss 0.030529932311037556
[2023-12-21 03:02:17,072][INFO] --epoch 100 loss 0.03298442242085002
[2023-12-21 03:02:17,187][INFO] --epoch 101 loss 0.049470086308429015
[2023-12-21 03:02:17,300][INFO] --epoch 102 loss 0.022388640110148118
[2023-12-21 03:02:17,412][INFO] --epoch 103 loss 0.0221018792653922
[2023-12-21 03:02:17,526][INFO] --epoch 104 loss 0.030440842889947816
[2023-12-21 03:02:17,641][INFO] --epoch 105 loss 0.02907093583489768
[2023-12-21 03:02:17,755][INFO] --epoch 106 loss 0.014370601519476622
[2023-12-21 03:02:17,869][INFO] --epoch 107 loss 0.024498411343665795
[2023-12-21 03:02:17,982][INFO] --epoch 108 loss 0.013217351277126
[2023-12-21 03:02:18,098][INFO] --epoch 109 loss 0.012462568008049856
[2023-12-21 03:02:18,210][INFO] --epoch 110 loss 0.014990118792047724
[2023-12-21 03:02:18,324][INFO] --epoch 111 loss 0.012299235264072195
[2023-12-21 03:02:18,439][INFO] --epoch 112 loss 0.019356830946344418
[2023-12-21 03:02:18,556][INFO] --epoch 113 loss 0.040602426105760966
[2023-12-21 03:02:18,673][INFO] --epoch 114 loss 0.01796878149616532
[2023-12-21 03:02:18,789][INFO] --epoch 115 loss 0.007671237265458331
[2023-12-21 03:02:18,903][INFO] --epoch 116 loss 0.005590400233631954
[2023-12-21 03:02:19,019][INFO] --epoch 117 loss 0.04743148466804996
[2023-12-21 03:02:19,136][INFO] --epoch 118 loss 0.012110327364644036
