[2023-12-21 13:35:41,373][INFO] 
===== FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613040>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c64613790>
===== end of FNN_big-0.1-100-small-2023-12-21-13-35-41 configuration =====

[2023-12-21 13:35:41,373][INFO] ===== start repair ======
[2023-12-21 13:35:41,373][INFO] For pgd attack net
[2023-12-21 13:35:41,597][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 13:35:41,857][INFO] --load the trainset and testset as testing set
[2023-12-21 13:35:41,864][INFO] --evaluate the original net on testset
[2023-12-21 13:35:41,866][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:41,866][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 13:35:41,946][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 13:35:42,807][INFO] --epoch 61 loss 2.251477360725403
[2023-12-21 13:35:42,820][INFO] --epoch 62 loss 2.25168514251709
[2023-12-21 13:35:42,834][INFO] --epoch 63 loss 2.2516066431999207
[2023-12-21 13:35:42,848][INFO] --epoch 64 loss 2.251987040042877
[2023-12-21 13:35:42,861][INFO] --epoch 65 loss 2.251962661743164
[2023-12-21 13:35:42,875][INFO] --epoch 66 loss 2.252278745174408
[2023-12-21 13:35:42,888][INFO] --epoch 67 loss 2.2520399689674377
[2023-12-21 13:35:42,901][INFO] --epoch 68 loss 2.251552104949951
[2023-12-21 13:35:42,914][INFO] --epoch 69 loss 2.25159353017807
[2023-12-21 13:35:42,929][INFO] --epoch 70 loss 2.251987636089325
[2023-12-21 13:35:42,942][INFO] --epoch 71 loss 2.251744866371155
[2023-12-21 13:35:42,955][INFO] --epoch 72 loss 2.251452684402466
[2023-12-21 13:35:42,968][INFO] --epoch 73 loss 2.251132369041443
[2023-12-21 13:35:42,982][INFO] --epoch 74 loss 2.2513726353645325
[2023-12-21 13:35:42,997][INFO] --epoch 75 loss 2.251978278160095
[2023-12-21 13:35:43,011][INFO] --epoch 76 loss 2.2504674792289734
[2023-12-21 13:35:43,025][INFO] --epoch 77 loss 2.2507439255714417
[2023-12-21 13:35:43,039][INFO] --epoch 78 loss 2.250133514404297
[2023-12-21 13:35:43,055][INFO] --epoch 79 loss 2.2486719489097595
[2023-12-21 13:35:43,069][INFO] --epoch 80 loss 2.251031816005707
[2023-12-21 13:35:43,085][INFO] --epoch 81 loss 2.2496050000190735
[2023-12-21 13:35:43,101][INFO] --epoch 82 loss 2.250488042831421
[2023-12-21 13:35:43,119][INFO] --epoch 83 loss 2.249109447002411
[2023-12-21 13:35:43,136][INFO] --epoch 84 loss 2.2462130188941956
[2023-12-21 13:35:43,151][INFO] --epoch 85 loss 2.24560809135437
[2023-12-21 13:35:43,168][INFO] --epoch 86 loss 2.2450318336486816
[2023-12-21 13:35:43,182][INFO] --epoch 87 loss 2.242941915988922
[2023-12-21 13:35:43,196][INFO] --epoch 88 loss 2.239260196685791
[2023-12-21 13:35:43,211][INFO] --epoch 89 loss 2.234957277774811
[2023-12-21 13:35:43,226][INFO] --epoch 90 loss 2.227010667324066
[2023-12-21 13:35:43,240][INFO] --epoch 91 loss 2.2201287150382996
[2023-12-21 13:35:43,253][INFO] --epoch 92 loss 2.2009048461914062
[2023-12-21 13:35:43,266][INFO] --epoch 93 loss 2.1758533120155334
[2023-12-21 13:35:43,281][INFO] --epoch 94 loss 2.1213736534118652
[2023-12-21 13:35:43,296][INFO] --epoch 95 loss 2.0343670547008514
[2023-12-21 13:35:43,312][INFO] --epoch 96 loss 1.94536092877388
[2023-12-21 13:35:43,329][INFO] --epoch 97 loss 2.0457119047641754
[2023-12-21 13:35:43,344][INFO] --epoch 98 loss 1.8638873100280762
[2023-12-21 13:35:43,359][INFO] --epoch 99 loss 1.7712878584861755
[2023-12-21 13:35:43,374][INFO] --epoch 100 loss 1.7809892296791077
[2023-12-21 13:35:43,389][INFO] --epoch 101 loss 1.7080213129520416
[2023-12-21 13:35:43,402][INFO] --epoch 102 loss 1.6503765285015106
[2023-12-21 13:35:43,416][INFO] --epoch 103 loss 2.2205538749694824
[2023-12-21 13:35:43,430][INFO] --epoch 104 loss 2.0751293897628784
[2023-12-21 13:35:43,445][INFO] --epoch 105 loss 1.6658813953399658
[2023-12-21 13:35:43,461][INFO] --epoch 106 loss 1.555253803730011
[2023-12-21 13:35:43,476][INFO] --epoch 107 loss 1.5409188866615295
[2023-12-21 13:35:43,491][INFO] --epoch 108 loss 1.334763377904892
[2023-12-21 13:35:43,505][INFO] --epoch 109 loss 2.0330536365509033
[2023-12-21 13:35:43,520][INFO] --epoch 110 loss 1.4479480981826782
[2023-12-21 13:35:43,534][INFO] --epoch 111 loss 1.2210024297237396
[2023-12-21 13:35:43,547][INFO] --epoch 112 loss 1.1926210224628448
[2023-12-21 13:35:43,560][INFO] --epoch 113 loss 1.324079006910324
[2023-12-21 13:35:43,572][INFO] --epoch 114 loss 1.256537765264511
[2023-12-21 13:35:43,585][INFO] --epoch 115 loss 1.0221739560365677
[2023-12-21 13:35:43,600][INFO] --epoch 116 loss 1.0252915918827057
[2023-12-21 13:35:43,613][INFO] --epoch 117 loss 1.4365063905715942
