[2023-12-21 07:04:01,657][INFO] 
===== FNN_small-0.3-100-small-2023-12-21-07-04-01 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8e50>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.3-100-small-2023-12-21-07-04-01 configuration =====

[2023-12-21 07:04:01,658][INFO] ===== start repair ======
[2023-12-21 07:04:01,658][INFO] For pgd attack net
[2023-12-21 07:04:01,970][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 07:04:02,357][INFO] --load the trainset and testset as testing set
[2023-12-21 07:04:02,364][INFO] --evaluate the original net on testset
[2023-12-21 07:04:02,364][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 07:04:02,365][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:04:02,458][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 07:04:03,231][INFO] --epoch 61 loss 2.2647504210472107
[2023-12-21 07:04:03,243][INFO] --epoch 62 loss 2.264660954475403
[2023-12-21 07:04:03,255][INFO] --epoch 63 loss 2.2645074129104614
[2023-12-21 07:04:03,267][INFO] --epoch 64 loss 2.2647169828414917
[2023-12-21 07:04:03,279][INFO] --epoch 65 loss 2.2644911408424377
[2023-12-21 07:04:03,291][INFO] --epoch 66 loss 2.264547109603882
[2023-12-21 07:04:03,303][INFO] --epoch 67 loss 2.2648332118988037
[2023-12-21 07:04:03,315][INFO] --epoch 68 loss 2.2649139165878296
[2023-12-21 07:04:03,327][INFO] --epoch 69 loss 2.2641682028770447
[2023-12-21 07:04:03,339][INFO] --epoch 70 loss 2.2638468146324158
[2023-12-21 07:04:03,351][INFO] --epoch 71 loss 2.2637110352516174
[2023-12-21 07:04:03,362][INFO] --epoch 72 loss 2.2639476656913757
[2023-12-21 07:04:03,374][INFO] --epoch 73 loss 2.2631534337997437
[2023-12-21 07:04:03,386][INFO] --epoch 74 loss 2.262907862663269
[2023-12-21 07:04:03,398][INFO] --epoch 75 loss 2.2617398500442505
[2023-12-21 07:04:03,410][INFO] --epoch 76 loss 2.2605048418045044
[2023-12-21 07:04:03,422][INFO] --epoch 77 loss 2.2589192390441895
[2023-12-21 07:04:03,435][INFO] --epoch 78 loss 2.2589609622955322
[2023-12-21 07:04:03,446][INFO] --epoch 79 loss 2.2582260966300964
[2023-12-21 07:04:03,459][INFO] --epoch 80 loss 2.256276786327362
[2023-12-21 07:04:03,471][INFO] --epoch 81 loss 2.252939522266388
[2023-12-21 07:04:03,483][INFO] --epoch 82 loss 2.2477519512176514
[2023-12-21 07:04:03,494][INFO] --epoch 83 loss 2.2411109805107117
[2023-12-21 07:04:03,506][INFO] --epoch 84 loss 2.2312360405921936
[2023-12-21 07:04:03,518][INFO] --epoch 85 loss 2.2206473350524902
[2023-12-21 07:04:03,529][INFO] --epoch 86 loss 2.201424479484558
[2023-12-21 07:04:03,540][INFO] --epoch 87 loss 2.1736112236976624
[2023-12-21 07:04:03,552][INFO] --epoch 88 loss 2.131024181842804
[2023-12-21 07:04:03,563][INFO] --epoch 89 loss 2.085960179567337
[2023-12-21 07:04:03,574][INFO] --epoch 90 loss 2.0913656055927277
[2023-12-21 07:04:03,585][INFO] --epoch 91 loss 2.0658953189849854
[2023-12-21 07:04:03,597][INFO] --epoch 92 loss 1.9393583834171295
[2023-12-21 07:04:03,609][INFO] --epoch 93 loss 1.8376144170761108
[2023-12-21 07:04:03,621][INFO] --epoch 94 loss 2.158960521221161
[2023-12-21 07:04:03,633][INFO] --epoch 95 loss 1.8366162478923798
[2023-12-21 07:04:03,645][INFO] --epoch 96 loss 1.8187915682792664
[2023-12-21 07:04:03,658][INFO] --epoch 97 loss 2.216153711080551
[2023-12-21 07:04:03,670][INFO] --epoch 98 loss 1.7828715443611145
[2023-12-21 07:04:03,682][INFO] --epoch 99 loss 1.7345160245895386
[2023-12-21 07:04:03,693][INFO] --epoch 100 loss 1.8278839588165283
[2023-12-21 07:04:03,706][INFO] --epoch 101 loss 1.6556959748268127
[2023-12-21 07:04:03,718][INFO] --epoch 102 loss 1.6918403208255768
[2023-12-21 07:04:03,730][INFO] --epoch 103 loss 1.988059937953949
[2023-12-21 07:04:03,742][INFO] --epoch 104 loss 1.601540744304657
[2023-12-21 07:04:03,755][INFO] --epoch 105 loss 1.5796467959880829
[2023-12-21 07:04:03,767][INFO] --epoch 106 loss 1.530801236629486
[2023-12-21 07:04:03,779][INFO] --epoch 107 loss 1.4847643077373505
[2023-12-21 07:04:03,790][INFO] --epoch 108 loss 1.4114030003547668
[2023-12-21 07:04:03,803][INFO] --epoch 109 loss 1.4202913045883179
[2023-12-21 07:04:03,814][INFO] --epoch 110 loss 1.4198448061943054
[2023-12-21 07:04:03,826][INFO] --epoch 111 loss 1.3218098282814026
[2023-12-21 07:04:03,838][INFO] --epoch 112 loss 1.3502825796604156
[2023-12-21 07:04:03,850][INFO] --epoch 113 loss 1.410302311182022
[2023-12-21 07:04:03,862][INFO] --epoch 114 loss 1.5152628421783447
[2023-12-21 07:04:03,873][INFO] --epoch 115 loss 1.329548716545105
[2023-12-21 07:04:03,885][INFO] --epoch 116 loss 1.3764105439186096
[2023-12-21 07:04:03,896][INFO] --epoch 117 loss 1.2262986302375793
[2023-12-21 07:04:03,909][INFO] --epoch 118 loss 1.2084952294826508
[2023-12-21 07:04:03,922][INFO] --epoch 119 loss 1.3505568206310272
[2023-12-21 07:04:03,934][INFO] --epoch 120 loss 1.2498014867305756
[2023-12-21 07:04:03,945][INFO] --epoch 121 loss 1.1299760341644287
[2023-12-21 07:04:03,957][INFO] --epoch 122 loss 1.1233381628990173
[2023-12-21 07:04:03,969][INFO] --epoch 123 loss 1.1032881140708923
[2023-12-21 07:04:03,980][INFO] --epoch 124 loss 1.175705075263977
[2023-12-21 07:04:03,992][INFO] --epoch 125 loss 1.1151635646820068
[2023-12-21 07:04:04,004][INFO] --epoch 126 loss 1.0801811665296555
