[2023-12-21 07:35:38,426][INFO] 
===== FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613430>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====

[2023-12-21 07:35:38,426][INFO] ===== start repair ======
[2023-12-21 07:35:38,426][INFO] For pgd attack net
[2023-12-21 07:35:38,535][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 07:35:40,085][INFO] --load the trainset and testset as testing set
[2023-12-21 07:35:40,100][INFO] --evaluate the original net on testset
[2023-12-21 07:35:40,101][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,101][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:35:40,142][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,553][INFO] --epoch 61 loss 2.14810848236084
[2023-12-21 07:35:40,560][INFO] --epoch 62 loss 2.1484105587005615
[2023-12-21 07:35:40,566][INFO] --epoch 63 loss 2.1479402780532837
[2023-12-21 07:35:40,573][INFO] --epoch 64 loss 2.148313045501709
[2023-12-21 07:35:40,579][INFO] --epoch 65 loss 2.147747755050659
[2023-12-21 07:35:40,586][INFO] --epoch 66 loss 2.147608518600464
[2023-12-21 07:35:40,592][INFO] --epoch 67 loss 2.1472859382629395
[2023-12-21 07:35:40,598][INFO] --epoch 68 loss 2.1475361585617065
[2023-12-21 07:35:40,605][INFO] --epoch 69 loss 2.1471190452575684
[2023-12-21 07:35:40,611][INFO] --epoch 70 loss 2.1475045680999756
[2023-12-21 07:35:40,617][INFO] --epoch 71 loss 2.1476000547409058
[2023-12-21 07:35:40,624][INFO] --epoch 72 loss 2.1468688249588013
[2023-12-21 07:35:40,630][INFO] --epoch 73 loss 2.146378517150879
[2023-12-21 07:35:40,636][INFO] --epoch 74 loss 2.146941900253296
[2023-12-21 07:35:40,643][INFO] --epoch 75 loss 2.145838975906372
[2023-12-21 07:35:40,649][INFO] --epoch 76 loss 2.1487667560577393
[2023-12-21 07:35:40,656][INFO] --epoch 77 loss 2.145345091819763
[2023-12-21 07:35:40,663][INFO] --epoch 78 loss 2.1457290649414062
[2023-12-21 07:35:40,670][INFO] --epoch 79 loss 2.1452845335006714
[2023-12-21 07:35:40,676][INFO] --epoch 80 loss 2.144265294075012
[2023-12-21 07:35:40,683][INFO] --epoch 81 loss 2.143405556678772
[2023-12-21 07:35:40,689][INFO] --epoch 82 loss 2.144545555114746
[2023-12-21 07:35:40,695][INFO] --epoch 83 loss 2.1431838274002075
[2023-12-21 07:35:40,702][INFO] --epoch 84 loss 2.1438361406326294
[2023-12-21 07:35:40,708][INFO] --epoch 85 loss 2.143765687942505
[2023-12-21 07:35:40,715][INFO] --epoch 86 loss 2.1446094512939453
[2023-12-21 07:35:40,722][INFO] --epoch 87 loss 2.1423988342285156
[2023-12-21 07:35:40,728][INFO] --epoch 88 loss 2.14169442653656
[2023-12-21 07:35:40,735][INFO] --epoch 89 loss 2.1414324045181274
[2023-12-21 07:35:40,741][INFO] --epoch 90 loss 2.144367814064026
[2023-12-21 07:35:40,747][INFO] --epoch 91 loss 2.141703486442566
[2023-12-21 07:35:40,754][INFO] --epoch 92 loss 2.1396589279174805
[2023-12-21 07:35:40,760][INFO] --epoch 93 loss 2.1418927907943726
[2023-12-21 07:35:40,767][INFO] --epoch 94 loss 2.140462279319763
[2023-12-21 07:35:40,774][INFO] --epoch 95 loss 2.1435528993606567
[2023-12-21 07:35:40,780][INFO] --epoch 96 loss 2.1446436643600464
[2023-12-21 07:35:40,786][INFO] --epoch 97 loss 2.1479471921920776
[2023-12-21 07:35:40,793][INFO] --epoch 98 loss 2.1443400382995605
[2023-12-21 07:35:40,799][INFO] --epoch 99 loss 2.1401963233947754
[2023-12-21 07:35:40,805][INFO] --epoch 100 loss 2.1398966312408447
[2023-12-21 07:35:40,812][INFO] --epoch 101 loss 2.1412439346313477
[2023-12-21 07:35:40,818][INFO] --epoch 102 loss 2.1443957090377808
[2023-12-21 07:35:40,824][INFO] --epoch 103 loss 2.140216112136841
[2023-12-21 07:35:40,831][INFO] --epoch 104 loss 2.1408618688583374
[2023-12-21 07:35:40,837][INFO] --epoch 105 loss 2.1411492824554443
[2023-12-21 07:35:40,843][INFO] --epoch 106 loss 2.1387670040130615
[2023-12-21 07:35:40,850][INFO] --epoch 107 loss 2.141966938972473
[2023-12-21 07:35:40,856][INFO] --epoch 108 loss 2.1387122869491577
[2023-12-21 07:35:40,863][INFO] --epoch 109 loss 2.138092279434204
[2023-12-21 07:35:40,870][INFO] --epoch 110 loss 2.1394985914230347
[2023-12-21 07:35:40,876][INFO] --epoch 111 loss 2.1367905139923096
[2023-12-21 07:35:40,882][INFO] --epoch 112 loss 2.13954496383667
[2023-12-21 07:35:40,889][INFO] --epoch 113 loss 2.1405434608459473
[2023-12-21 07:35:40,896][INFO] --epoch 114 loss 2.138973116874695
[2023-12-21 07:35:40,903][INFO] --epoch 115 loss 2.1385748386383057
[2023-12-21 07:35:40,910][INFO] --epoch 116 loss 2.1380378007888794
[2023-12-21 07:35:40,916][INFO] --epoch 117 loss 2.1394991874694824
[2023-12-21 07:35:40,923][INFO] --epoch 118 loss 2.138201594352722
[2023-12-21 07:35:40,929][INFO] --epoch 119 loss 2.1375160217285156
[2023-12-21 07:35:40,936][INFO] --epoch 120 loss 2.1373120546340942
[2023-12-21 07:35:40,943][INFO] --epoch 121 loss 2.136806011199951
[2023-12-21 07:35:40,949][INFO] --epoch 122 loss 2.137855052947998
[2023-12-21 07:35:40,955][INFO] --epoch 123 loss 2.134591221809387
[2023-12-21 07:35:40,962][INFO] --epoch 124 loss 2.1337274312973022
[2023-12-21 07:35:40,968][INFO] --epoch 125 loss 2.133365273475647
[2023-12-21 07:35:40,975][INFO] --epoch 126 loss 2.1331162452697754
[2023-12-21 07:35:40,981][INFO] --epoch 127 loss 2.132262110710144
[2023-12-21 07:35:40,988][INFO] --epoch 128 loss 2.131897807121277
[2023-12-21 07:35:40,995][INFO] --epoch 129 loss 2.131381630897522
[2023-12-21 07:35:41,002][INFO] --epoch 130 loss 2.1314934492111206
[2023-12-21 07:35:41,009][INFO] --epoch 131 loss 2.130655527114868
[2023-12-21 07:35:41,015][INFO] --epoch 132 loss 2.12903368473053
[2023-12-21 07:35:41,022][INFO] --epoch 133 loss 2.1284725666046143
[2023-12-21 07:35:41,028][INFO] --epoch 134 loss 2.1290409564971924
[2023-12-21 07:35:41,035][INFO] --epoch 135 loss 2.128320097923279
[2023-12-21 07:35:41,041][INFO] --epoch 136 loss 2.128337860107422
[2023-12-21 07:35:41,048][INFO] --epoch 137 loss 2.1282997131347656
[2023-12-21 07:35:41,054][INFO] --epoch 138 loss 2.1286115646362305
[2023-12-21 07:35:41,061][INFO] --epoch 139 loss 2.1276413202285767
[2023-12-21 07:35:41,067][INFO] --epoch 140 loss 2.127204656600952
[2023-12-21 07:35:41,074][INFO] --epoch 141 loss 2.126807928085327
[2023-12-21 07:35:41,081][INFO] --epoch 142 loss 2.126603364944458
[2023-12-21 07:35:41,088][INFO] --epoch 143 loss 2.1264864206314087
[2023-12-21 07:35:41,095][INFO] --epoch 144 loss 2.126314878463745
[2023-12-21 07:35:41,101][INFO] --epoch 145 loss 2.1260249614715576
[2023-12-21 07:35:41,109][INFO] --epoch 146 loss 2.125999927520752
[2023-12-21 07:35:41,115][INFO] --epoch 147 loss 2.1259756088256836
[2023-12-21 07:35:41,121][INFO] --epoch 148 loss 2.1259368658065796
[2023-12-21 07:35:41,128][INFO] --epoch 149 loss 2.1259233951568604
[2023-12-21 07:35:41,134][INFO] --epoch 150 loss 2.1259204149246216
[2023-12-21 07:35:41,141][INFO] --epoch 151 loss 2.1259217262268066
[2023-12-21 07:35:41,147][INFO] --epoch 152 loss 2.1259313821792603
[2023-12-21 07:35:41,154][INFO] --epoch 153 loss 2.1259387731552124
[2023-12-21 07:35:41,161][INFO] --epoch 154 loss 2.1259238719940186
[2023-12-21 07:35:41,167][INFO] --epoch 155 loss 2.1258909702301025
[2023-12-21 07:35:41,174][INFO] --epoch 156 loss 2.1258689761161804
[2023-12-21 07:35:41,180][INFO] --epoch 157 loss 2.1260071992874146
[2023-12-21 07:35:41,186][INFO] --epoch 158 loss 2.125668525695801
[2023-12-21 07:35:41,193][INFO] --epoch 159 loss 2.1255639791488647
[2023-12-21 07:35:41,200][INFO] --epoch 160 loss 2.1255589723587036
[2023-12-21 07:35:41,207][INFO] --epoch 161 loss 2.1251593828201294
[2023-12-21 07:35:41,214][INFO] --epoch 162 loss 2.1250334978103638
[2023-12-21 07:35:41,220][INFO] --epoch 163 loss 2.124360203742981
[2023-12-21 07:35:41,227][INFO] --epoch 164 loss 2.1247432231903076
[2023-12-21 07:35:41,233][INFO] --epoch 165 loss 2.1239556074142456
[2023-12-21 07:35:41,240][INFO] --epoch 166 loss 2.1232903003692627
[2023-12-21 07:35:41,246][INFO] --epoch 167 loss 2.1228415966033936
[2023-12-21 07:35:41,253][INFO] --epoch 168 loss 2.121410846710205
[2023-12-21 07:35:41,260][INFO] --epoch 169 loss 2.119938373565674
[2023-12-21 07:35:41,267][INFO] --epoch 170 loss 2.1180269718170166
[2023-12-21 07:35:41,274][INFO] --epoch 171 loss 2.1162238121032715
[2023-12-21 07:35:41,280][INFO] --epoch 172 loss 2.11421799659729
[2023-12-21 07:35:41,287][INFO] --epoch 173 loss 2.1112890243530273
[2023-12-21 07:35:41,293][INFO] --epoch 174 loss 2.1085575819015503
[2023-12-21 07:35:41,300][INFO] --epoch 175 loss 2.1035832166671753
[2023-12-21 07:35:41,306][INFO] --epoch 176 loss 2.100167393684387
[2023-12-21 07:35:41,313][INFO] --epoch 177 loss 2.0938708782196045
[2023-12-21 07:35:41,320][INFO] --epoch 178 loss 2.0869321823120117
[2023-12-21 07:35:41,327][INFO] --epoch 179 loss 2.077226459980011
[2023-12-21 07:35:41,333][INFO] --epoch 180 loss 2.0639997720718384
[2023-12-21 07:35:41,339][INFO] --epoch 181 loss 2.0447189807891846
[2023-12-21 07:35:41,346][INFO] --epoch 182 loss 2.025786519050598
[2023-12-21 07:35:41,352][INFO] --epoch 183 loss 1.9982725977897644
[2023-12-21 07:35:41,359][INFO] --epoch 184 loss 1.9590148329734802
[2023-12-21 07:35:41,365][INFO] --epoch 185 loss 1.8924829959869385
[2023-12-21 07:35:41,371][INFO] --epoch 186 loss 1.8325021862983704
[2023-12-21 07:35:41,378][INFO] --epoch 187 loss 1.7771453857421875
[2023-12-21 07:35:41,385][INFO] --epoch 188 loss 1.717656433582306
[2023-12-21 07:35:41,392][INFO] --epoch 189 loss 1.6779165863990784
[2023-12-21 07:35:41,398][INFO] --epoch 190 loss 1.6703534722328186
[2023-12-21 07:35:41,405][INFO] --epoch 191 loss 1.6059725284576416
[2023-12-21 07:35:41,411][INFO] --epoch 192 loss 1.5632216930389404
[2023-12-21 07:35:41,417][INFO] --epoch 193 loss 1.723010778427124
[2023-12-21 07:35:41,423][INFO] --epoch 194 loss 2.0246910452842712
