[2023-12-20 22:01:53,812][INFO] 
===== CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bdc0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb598daf0>
===== end of CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====

[2023-12-20 22:01:53,813][INFO] ===== start repair ======
[2023-12-20 22:01:53,813][INFO] For pgd attack net
[2023-12-20 22:01:55,956][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-20 22:01:58,605][INFO] --load the trainset and testset as testing set
[2023-12-20 22:01:58,621][INFO] --evaluate the original net on testset
[2023-12-20 22:01:58,623][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:01:58,623][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 22:01:59,366][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:02:06,640][INFO] --epoch 60 loss 0.0008808267306449124
[2023-12-20 22:02:06,756][INFO] --epoch 61 loss 0.0009343688980152365
[2023-12-20 22:02:06,873][INFO] --epoch 62 loss 0.0009317472271504812
[2023-12-20 22:02:06,993][INFO] --epoch 63 loss 0.0008970525363110937
[2023-12-20 22:02:07,112][INFO] --epoch 64 loss 0.0008617462932306808
[2023-12-20 22:02:07,234][INFO] --epoch 65 loss 0.0008889690627256642
[2023-12-20 22:02:07,354][INFO] --epoch 66 loss 0.0008965730892668943
[2023-12-20 22:02:07,474][INFO] --epoch 67 loss 0.0008910023610951612
[2023-12-20 22:02:07,595][INFO] --epoch 68 loss 0.0008872465012245811
[2023-12-20 22:02:07,718][INFO] --epoch 69 loss 0.0008988789570139489
[2023-12-20 22:02:07,837][INFO] --epoch 70 loss 0.0009459558177695726
[2023-12-20 22:02:07,956][INFO] --epoch 71 loss 0.0008878359229129273
[2023-12-20 22:02:08,077][INFO] --epoch 72 loss 0.0009476105627982178
[2023-12-20 22:02:08,197][INFO] --epoch 73 loss 0.000989331905657309
[2023-12-20 22:02:08,319][INFO] --epoch 74 loss 0.0008737516960536596
[2023-12-20 22:02:08,441][INFO] --epoch 75 loss 0.000768621363749844
[2023-12-20 22:02:08,558][INFO] --epoch 76 loss 0.0008397171841352247
[2023-12-20 22:02:08,680][INFO] --epoch 77 loss 0.0013026981316215825
[2023-12-20 22:02:08,801][INFO] --epoch 78 loss 0.000998631916809245
[2023-12-20 22:02:08,924][INFO] --epoch 79 loss 0.0012096438873413717
[2023-12-20 22:02:09,045][INFO] --epoch 80 loss 0.0010909722732321825
[2023-12-20 22:02:09,165][INFO] --epoch 81 loss 0.0021547365377045935
[2023-12-20 22:02:09,286][INFO] --epoch 82 loss 0.0010706348562962375
[2023-12-20 22:02:09,406][INFO] --epoch 83 loss 0.0011803226929259837
[2023-12-20 22:02:09,527][INFO] --epoch 84 loss 0.001319801778299734
[2023-12-20 22:02:09,649][INFO] --epoch 85 loss 0.0008293700694594009
[2023-12-20 22:02:09,772][INFO] --epoch 86 loss 0.0013937835596152582
[2023-12-20 22:02:09,893][INFO] --epoch 87 loss 0.0017052664792572615
[2023-12-20 22:02:10,014][INFO] --epoch 88 loss 0.0009122998635575641
[2023-12-20 22:02:10,135][INFO] --epoch 89 loss 0.001152927482416999
[2023-12-20 22:02:10,256][INFO] --epoch 90 loss 0.001350545261084335
[2023-12-20 22:02:10,376][INFO] --epoch 91 loss 0.0009489340798609191
[2023-12-20 22:02:10,500][INFO] --epoch 92 loss 0.0012009150814265013
[2023-12-20 22:02:10,621][INFO] --epoch 93 loss 0.001841287889328669
[2023-12-20 22:02:10,742][INFO] --epoch 94 loss 0.002573371224298171
[2023-12-20 22:02:10,864][INFO] --epoch 95 loss 0.001829375504348718
[2023-12-20 22:02:10,987][INFO] --epoch 96 loss 0.0013031390844844282
[2023-12-20 22:02:11,110][INFO] --epoch 97 loss 0.0015913929658381675
[2023-12-20 22:02:11,234][INFO] --epoch 98 loss 0.0014365997922141105
[2023-12-20 22:02:11,356][INFO] --epoch 99 loss 0.0018460580675309756
[2023-12-20 22:02:11,477][INFO] --epoch 100 loss 0.0016964244259725092
[2023-12-20 22:02:11,600][INFO] --epoch 101 loss 0.0011025762018107344
[2023-12-20 22:02:11,722][INFO] --epoch 102 loss 0.0006897451799886767
[2023-12-20 22:02:11,842][INFO] --epoch 103 loss 0.00046713611591258085
[2023-12-20 22:02:11,964][INFO] --epoch 104 loss 0.0004437133636656654
[2023-12-20 22:02:12,091][INFO] --epoch 105 loss 0.00283978775637479
[2023-12-20 22:02:12,214][INFO] --epoch 106 loss 0.0009402225164194533
[2023-12-20 22:02:12,335][INFO] --epoch 107 loss 0.00045058647210680645
[2023-12-20 22:02:12,459][INFO] --epoch 108 loss 0.0003976573332238331
[2023-12-20 22:02:12,579][INFO] --epoch 109 loss 0.00034846987364289816
[2023-12-20 22:02:12,700][INFO] --epoch 110 loss 0.00047057547171789336
[2023-12-20 22:02:12,816][INFO] --epoch 111 loss 0.0004064243516040733
[2023-12-20 22:02:12,928][INFO] --epoch 112 loss 0.00022804809505032607
[2023-12-20 22:02:13,041][INFO] --epoch 113 loss 0.000375608045305853
[2023-12-20 22:02:13,157][INFO] --epoch 114 loss 0.0003300096435850719
[2023-12-20 22:02:13,272][INFO] --epoch 115 loss 0.0002734703253963744
[2023-12-20 22:02:13,385][INFO] --epoch 116 loss 0.00026953402605158774
[2023-12-20 22:02:13,499][INFO] --epoch 117 loss 0.0002584968354312878
[2023-12-20 22:02:13,613][INFO] --epoch 118 loss 0.0002735005095019005
[2023-12-20 22:02:13,727][INFO] --epoch 119 loss 0.0003077385853430314
[2023-12-20 22:02:13,840][INFO] --epoch 120 loss 0.0002188849979575025
[2023-12-20 22:02:13,950][INFO] --epoch 121 loss 0.00020429068422345154
[2023-12-20 22:02:14,063][INFO] --epoch 122 loss 0.00017517091682748288
[2023-12-20 22:02:14,177][INFO] --epoch 123 loss 0.0001776522946784098
[2023-12-20 22:02:14,292][INFO] --epoch 124 loss 0.0001488659389337954
[2023-12-20 22:02:14,406][INFO] --epoch 125 loss 0.00012938403295947865
[2023-12-20 22:02:14,523][INFO] --epoch 126 loss 0.00011143672331854759
[2023-12-20 22:02:14,637][INFO] --epoch 127 loss 0.00010135262269272971
[2023-12-20 22:02:14,751][INFO] --epoch 128 loss 0.00011384477811589022
[2023-12-20 22:02:14,864][INFO] --epoch 129 loss 0.00012454747270567167
[2023-12-20 22:02:14,977][INFO] --epoch 130 loss 0.00011418964522817987
[2023-12-20 22:02:15,091][INFO] --epoch 131 loss 0.00011548987627065798
[2023-12-20 22:02:15,205][INFO] --epoch 132 loss 0.00010114755614267778
[2023-12-20 22:02:15,318][INFO] --epoch 133 loss 9.648622485656234e-05
[2023-12-20 22:02:15,432][INFO] --epoch 134 loss 9.346510491923255e-05
[2023-12-20 22:02:15,550][INFO] --epoch 135 loss 9.320459619175381e-05
[2023-12-20 22:02:15,685][INFO] --epoch 136 loss 9.070553405763349e-05
[2023-12-20 22:02:15,826][INFO] --epoch 137 loss 8.77143303569028e-05
[2023-12-20 22:02:15,945][INFO] --epoch 138 loss 8.848931239526791e-05
[2023-12-20 22:02:16,057][INFO] --epoch 139 loss 8.83824904121866e-05
[2023-12-20 22:02:16,167][INFO] --epoch 140 loss 8.799286235898763e-05
[2023-12-20 22:02:16,283][INFO] --epoch 141 loss 8.956456970281579e-05
[2023-12-20 22:02:16,401][INFO] --epoch 142 loss 8.866351492997637e-05
[2023-12-20 22:02:16,516][INFO] --epoch 143 loss 8.784729348008114e-05
[2023-12-20 22:02:16,641][INFO] --epoch 144 loss 8.705795660262084e-05
[2023-12-20 22:02:16,767][INFO] --epoch 145 loss 8.742261495626735e-05
[2023-12-20 22:02:16,891][INFO] --epoch 146 loss 8.702783468379493e-05
[2023-12-20 22:02:17,012][INFO] --epoch 147 loss 8.675140861669206e-05
[2023-12-20 22:02:17,131][INFO] --epoch 148 loss 8.666251652584833e-05
[2023-12-20 22:02:17,252][INFO] --epoch 149 loss 8.662350041959144e-05
[2023-12-20 22:02:17,372][INFO] --epoch 150 loss 8.660492644594343e-05
[2023-12-20 22:02:17,494][INFO] --epoch 151 loss 8.66002854877479e-05
[2023-12-20 22:02:17,618][INFO] --epoch 152 loss 8.65688485305327e-05
[2023-12-20 22:02:17,746][INFO] --epoch 153 loss 8.641926990549109e-05
[2023-12-20 22:02:17,872][INFO] --epoch 154 loss 8.620984704066359e-05
[2023-12-20 22:02:17,994][INFO] --epoch 155 loss 8.610618035618245e-05
[2023-12-20 22:02:18,118][INFO] --epoch 156 loss 8.533388771638783e-05
[2023-12-20 22:02:18,240][INFO] --epoch 157 loss 8.485955842161275e-05
[2023-12-20 22:02:18,363][INFO] --epoch 158 loss 8.407481848280441e-05
[2023-12-20 22:02:18,487][INFO] --epoch 159 loss 8.343216204593773e-05
[2023-12-20 22:02:18,613][INFO] --epoch 160 loss 8.200830884561583e-05
[2023-12-20 22:02:18,736][INFO] --epoch 161 loss 8.13452941883952e-05
[2023-12-20 22:02:18,860][INFO] --epoch 162 loss 8.223868705954373e-05
[2023-12-20 22:02:18,985][INFO] --epoch 163 loss 8.132343402849074e-05
[2023-12-20 22:02:19,108][INFO] --epoch 164 loss 8.72555710202505e-05
[2023-12-20 22:02:19,231][INFO] --epoch 165 loss 8.140717341120762e-05
[2023-12-20 22:02:19,354][INFO] --epoch 166 loss 7.806304463429115e-05
[2023-12-20 22:02:19,476][INFO] --epoch 167 loss 7.811366898522465e-05
[2023-12-20 22:02:19,600][INFO] --epoch 168 loss 7.879497127305513e-05
[2023-12-20 22:02:19,724][INFO] --epoch 169 loss 7.784434442328347e-05
[2023-12-20 22:02:19,847][INFO] --epoch 170 loss 7.595053698423726e-05
[2023-12-20 22:02:19,969][INFO] --epoch 171 loss 7.36570399340053e-05
[2023-12-20 22:02:20,093][INFO] --epoch 172 loss 7.12056098109315e-05
[2023-12-20 22:02:20,215][INFO] --epoch 173 loss 7.06608959433197e-05
[2023-12-20 22:02:20,338][INFO] --epoch 174 loss 6.860647783923923e-05
[2023-12-20 22:02:20,464][INFO] --epoch 175 loss 7.272513405496284e-05
[2023-12-20 22:02:20,587][INFO] --epoch 176 loss 7.002028939950833e-05
[2023-12-20 22:02:20,710][INFO] --epoch 177 loss 7.363722738773504e-05
[2023-12-20 22:02:20,830][INFO] --epoch 178 loss 6.992907362928236e-05
[2023-12-20 22:02:20,952][INFO] --epoch 179 loss 7.211307895431674e-05
[2023-12-20 22:02:21,074][INFO] --epoch 180 loss 6.79729762396164e-05
[2023-12-20 22:02:21,199][INFO] --epoch 181 loss 6.42873056449389e-05
[2023-12-20 22:02:21,320][INFO] --epoch 182 loss 6.292952677995345e-05
[2023-12-20 22:02:21,444][INFO] --epoch 183 loss 6.900755003016456e-05
[2023-12-20 22:02:21,567][INFO] --epoch 184 loss 6.701099082420114e-05
[2023-12-20 22:02:21,692][INFO] --epoch 185 loss 6.14046665305068e-05
[2023-12-20 22:02:21,816][INFO] --epoch 186 loss 5.85014490411595e-05
[2023-12-20 22:02:21,932][INFO] --epoch 187 loss 5.8890373225040094e-05
[2023-12-20 22:02:22,048][INFO] --epoch 188 loss 5.568658435777252e-05
[2023-12-20 22:02:22,166][INFO] --epoch 189 loss 5.5530713996176925e-05
[2023-12-20 22:02:22,288][INFO] --epoch 190 loss 5.133987887688818e-05
[2023-12-20 22:02:22,406][INFO] --epoch 191 loss 5.483551806264586e-05
[2023-12-20 22:02:22,525][INFO] --epoch 192 loss 4.9665935088683e-05
[2023-12-20 22:02:22,637][INFO] --epoch 193 loss 5.320084819118165e-05
[2023-12-20 22:02:22,748][INFO] --epoch 194 loss 4.8667838200344704e-05
[2023-12-20 22:02:22,858][INFO] --epoch 195 loss 4.772935836854231e-05
[2023-12-20 22:02:22,975][INFO] --epoch 196 loss 4.759325258874014e-05
[2023-12-20 22:02:23,092][INFO] --epoch 197 loss 5.174160921797011e-05
[2023-12-20 22:02:23,213][INFO] --epoch 198 loss 5.439439228211995e-05
[2023-12-20 22:02:23,338][INFO] --epoch 199 loss 4.5695001529111326e-05
[2023-12-20 22:02:23,338][INFO] --adv training finished
[2023-12-20 22:02:23,346][INFO] --evaluate the adv training net on testset
[2023-12-20 22:02:23,351][INFO] --For testset, out of 10000 items, ratio 1.0
[2023-12-20 22:02:23,351][INFO] --test the defense against autoattack
[2023-12-20 22:02:23,658][INFO] correct1 0
[2023-12-20 22:02:24,799][INFO] correct2 31
[2023-12-20 22:02:25,102][INFO] correct3 0
[2023-12-20 22:02:25,405][INFO] correct1 0
[2023-12-20 22:02:26,552][INFO] correct2 31
[2023-12-20 22:02:26,861][INFO] correct3 0
[2023-12-20 22:02:27,172][INFO] correct1 0
[2023-12-20 22:02:28,289][INFO] correct2 32
[2023-12-20 22:02:28,591][INFO] correct3 0
