[2023-12-21 11:54:54,069][INFO] 
===== FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982940>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a9823a0>
===== end of FNN_big-0.05-1000-small-2023-12-21-11-54-54 configuration =====

[2023-12-21 11:54:54,069][INFO] ===== start repair ======
[2023-12-21 11:54:54,069][INFO] For pgd attack net
[2023-12-21 11:54:55,661][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 11:54:57,708][INFO] --load the trainset and testset as testing set
[2023-12-21 11:54:57,723][INFO] --evaluate the original net on testset
[2023-12-21 11:54:57,724][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:54:57,724][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 11:54:58,335][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 11:55:06,626][INFO] --epoch 61 loss 0.0170203942747321
[2023-12-21 11:55:06,752][INFO] --epoch 62 loss 0.01680193314095959
[2023-12-21 11:55:06,886][INFO] --epoch 63 loss 0.017923754220828415
[2023-12-21 11:55:07,031][INFO] --epoch 64 loss 0.02046721134101972
[2023-12-21 11:55:07,160][INFO] --epoch 65 loss 0.02073982877191156
[2023-12-21 11:55:07,288][INFO] --epoch 66 loss 0.017593170318286867
[2023-12-21 11:55:07,414][INFO] --epoch 67 loss 0.015473283675964922
[2023-12-21 11:55:07,542][INFO] --epoch 68 loss 0.018996566964779048
[2023-12-21 11:55:07,670][INFO] --epoch 69 loss 0.06375246684765443
[2023-12-21 11:55:07,795][INFO] --epoch 70 loss 0.02983374983887188
[2023-12-21 11:55:07,926][INFO] --epoch 71 loss 0.03066104161553085
[2023-12-21 11:55:08,055][INFO] --epoch 72 loss 0.03610222178976983
[2023-12-21 11:55:08,182][INFO] --epoch 73 loss 0.023720653878990562
[2023-12-21 11:55:08,303][INFO] --epoch 74 loss 0.07331220569321886
[2023-12-21 11:55:08,416][INFO] --epoch 75 loss 0.06163593453820795
[2023-12-21 11:55:08,540][INFO] --epoch 76 loss 0.11975735118612647
[2023-12-21 11:55:08,660][INFO] --epoch 77 loss 0.20823511509224774
[2023-12-21 11:55:08,779][INFO] --epoch 78 loss 0.13926376879680902
[2023-12-21 11:55:08,900][INFO] --epoch 79 loss 0.05685377076733857
[2023-12-21 11:55:09,018][INFO] --epoch 80 loss 0.17035682171117514
[2023-12-21 11:55:09,135][INFO] --epoch 81 loss 0.20203531230799854
[2023-12-21 11:55:09,256][INFO] --epoch 82 loss 0.13167682266794145
[2023-12-21 11:55:09,375][INFO] --epoch 83 loss 0.10632600176613778
[2023-12-21 11:55:09,492][INFO] --epoch 84 loss 0.28891002694144846
[2023-12-21 11:55:09,610][INFO] --epoch 85 loss 0.09295133536215872
[2023-12-21 11:55:09,724][INFO] --epoch 86 loss 0.2482809892622754
[2023-12-21 11:55:09,839][INFO] --epoch 87 loss 0.06368119672406465
[2023-12-21 11:55:09,958][INFO] --epoch 88 loss 0.06182892714859918
[2023-12-21 11:55:10,076][INFO] --epoch 89 loss 0.03734969145152718
[2023-12-21 11:55:10,195][INFO] --epoch 90 loss 0.19921391031239183
[2023-12-21 11:55:10,314][INFO] --epoch 91 loss 0.11396162677556276
[2023-12-21 11:55:10,432][INFO] --epoch 92 loss 0.4418192768120207
[2023-12-21 11:55:10,549][INFO] --epoch 93 loss 0.2807186083402485
[2023-12-21 11:55:10,663][INFO] --epoch 94 loss 0.12177660294109956
[2023-12-21 11:55:10,777][INFO] --epoch 95 loss 0.09421983810607344
[2023-12-21 11:55:10,890][INFO] --epoch 96 loss 0.07199499423149973
[2023-12-21 11:55:11,006][INFO] --epoch 97 loss 0.13604173597414046
[2023-12-21 11:55:11,121][INFO] --epoch 98 loss 0.4021637490368448
[2023-12-21 11:55:11,235][INFO] --epoch 99 loss 0.1400184439960867
[2023-12-21 11:55:11,351][INFO] --epoch 100 loss 0.038509376219008115
[2023-12-21 11:55:11,469][INFO] --epoch 101 loss 0.0354119349794928
[2023-12-21 11:55:11,582][INFO] --epoch 102 loss 0.046492518042214215
[2023-12-21 11:55:11,700][INFO] --epoch 103 loss 0.026642753870692103
[2023-12-21 11:55:11,818][INFO] --epoch 104 loss 0.03874200065038167
[2023-12-21 11:55:11,937][INFO] --epoch 105 loss 0.05736818839213811
[2023-12-21 11:55:12,053][INFO] --epoch 106 loss 0.020126713038189338
[2023-12-21 11:55:12,174][INFO] --epoch 107 loss 0.013662524332175963
[2023-12-21 11:55:12,291][INFO] --epoch 108 loss 0.029030630458146335
[2023-12-21 11:55:12,409][INFO] --epoch 109 loss 0.058454207214526835
[2023-12-21 11:55:12,529][INFO] --epoch 110 loss 0.01290610556025058
[2023-12-21 11:55:12,652][INFO] --epoch 111 loss 0.01043373419670388
[2023-12-21 11:55:12,803][INFO] --epoch 112 loss 0.015094815861084498
[2023-12-21 11:55:12,930][INFO] --epoch 113 loss 0.027792371477698908
[2023-12-21 11:55:13,046][INFO] --epoch 114 loss 0.011890350357862189
[2023-12-21 11:55:13,162][INFO] --epoch 115 loss 0.00822184769785963
[2023-12-21 11:55:13,281][INFO] --epoch 116 loss 0.008160783065250143
[2023-12-21 11:55:13,402][INFO] --epoch 117 loss 0.00631190312851686
[2023-12-21 11:55:13,522][INFO] --epoch 118 loss 0.006339001056039706
[2023-12-21 11:55:13,646][INFO] --epoch 119 loss 0.0050296300862100905
[2023-12-21 11:55:13,766][INFO] --epoch 120 loss 0.004855064261937514
[2023-12-21 11:55:13,886][INFO] --epoch 121 loss 0.005178767270990647
[2023-12-21 11:55:14,005][INFO] --epoch 122 loss 0.005229416288057109
[2023-12-21 11:55:14,126][INFO] --epoch 123 loss 0.003862152666260954
[2023-12-21 11:55:14,245][INFO] --epoch 124 loss 0.00431872767439927
[2023-12-21 11:55:14,364][INFO] --epoch 125 loss 0.0039140594271884765
[2023-12-21 11:55:14,486][INFO] --epoch 126 loss 0.00435906517523108
[2023-12-21 11:55:14,623][INFO] --epoch 127 loss 0.0032696803911676396
[2023-12-21 11:55:14,789][INFO] --epoch 128 loss 0.003262724805608741
[2023-12-21 11:55:14,957][INFO] --epoch 129 loss 0.0037088799275807106
[2023-12-21 11:55:15,079][INFO] --epoch 130 loss 0.0029076475791953273
