For net: FNN_small, radius: 0.05, repair_number: 200, adv_training:0.5425, PatchRepair:0.9658, original:0.0996
For net: FNN_small, radius: 0.05, repair_number: 500, adv_training:0.6043, PatchRepair:0.9656, original:0.0997
For net: FNN_small, radius: 0.05, repair_number: 1000, adv_training:0.5996, PatchRepair:0.9658, original:0.1
For net: FNN_small, radius: 0.1, repair_number: 50, adv_training:0.0687, PatchRepair:0.9628, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 100, adv_training:0.1856, PatchRepair:0.9504, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 200, adv_training:0.1899, PatchRepair:0.952, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 500, adv_training:0.1433, PatchRepair:0.9527, original:0.0002
For net: FNN_small, radius: 0.1, repair_number: 1000, adv_training:0.0979, PatchRepair:0.9652, original:0.0002
For net: FNN_small, radius: 0.3, repair_number: 50, adv_training:0.0, PatchRepair:0.8637, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 100, adv_training:0.0006, PatchRepair:0.9621, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 200, adv_training:0.0, PatchRepair:0.9081, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 500, adv_training:0.0, PatchRepair:0.9197, original:0.0
For net: FNN_small, radius: 0.3, repair_number: 1000, adv_training:0.0001, PatchRepair:0.9656, original:0.0

For net: FNN_big, radius: 0.3, repair_number: 200, adv_training:0.1135, PatchRepair:0.9714, original:0.0
For net: FNN_big, radius: 0.05, repair_number: 50, adv_training:0.1961, PatchRepair:0.9702, original:0.4051
For net: FNN_big, radius: 0.3, repair_number: 500, adv_training:0.1135, PatchRepair:0.9716, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 1000, adv_training:0.1135, PatchRepair:0.9715, original:0.0
For net: FNN_big, radius: 0.05, repair_number: 100, adv_training:0.3745, PatchRepair:0.9712, original:0.4052
For net: FNN_big, radius: 0.05, repair_number: 200, adv_training:0.6339, PatchRepair:0.9709, original:0.4055
For net: FNN_big, radius: 0.05, repair_number: 500, adv_training:0.6754, PatchRepair:0.9718, original:0.405
For net: FNN_big, radius: 0.05, repair_number: 1000, adv_training:0.694, PatchRepair:0.9718, original:0.405
For net: FNN_big, radius: 0.1, repair_number: 50, adv_training:0.0926, PatchRepair:0.9713, original:0.0152
For net: FNN_big, radius: 0.1, repair_number: 100, adv_training:0.1928, PatchRepair:0.9714, original:0.0154
For net: FNN_big, radius: 0.1, repair_number: 200, adv_training:0.2532, PatchRepair:0.9709, original:0.0154
For net: FNN_big, radius: 0.1, repair_number: 500, adv_training:0.1637, PatchRepair:0.9717, original:0.0153
For net: FNN_big, radius: 0.1, repair_number: 1000, adv_training:0.1325, PatchRepair:0.9718, original:0.0151
For net: FNN_big, radius: 0.3, repair_number: 50, adv_training:0.0, PatchRepair:0.9603, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 100, adv_training:0.0, PatchRepair:0.9669, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 200, adv_training:0.0, PatchRepair:0.9715, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 500, adv_training:0.0, PatchRepair:0.9717, original:0.0
For net: FNN_big, radius: 0.3, repair_number: 1000, adv_training:0.0, PatchRepair:0.9716, original:0.0
For net: FNN_small, radius: 0.05, repair_number: 50, prdnn:0.0318, care:0.0889, art:0.0892
For net: FNN_small, radius: 0.1, repair_number: 50, prdnn:0.0001, care:0.0002, art:0.0958
For net: FNN_small, radius: 0.3, repair_number: 50, prdnn:0.0, care:0.0, art:0.0974
For net: FNN_small, radius: 0.05, repair_number: 100, prdnn:0.0515, care:0.0929, art:0.1135
For net: FNN_small, radius: 0.1, repair_number: 100, prdnn:0.0, care:0.0001, art:0.0958
For net: FNN_small, radius: 0.3, repair_number: 100, prdnn:0.0, care:0.0, art:0.0958
For net: FNN_small, radius: 0.05, repair_number: 200, prdnn:0.0107, care:0.0859, art:0.101
For net: FNN_small, radius: 0.1, repair_number: 200, prdnn:0.0, care:0.0002, art:0.101
For net: FNN_small, radius: 0.3, repair_number: 200, prdnn:0.0, care:0.0, art:0.0958
For net: FNN_small, radius: 0.05, repair_number: 500, prdnn:0.0053, care:0.0829, art:0.0892
For net: FNN_small, radius: 0.1, repair_number: 500, prdnn:0.0, care:0.0, art:0.098
For net: FNN_small, radius: 0.3, repair_number: 500, prdnn:0.0, care:0.0, art:0.1028
For net: FNN_small, radius: 0.05, repair_number: 1000, prdnn:0.0021, care:0.0614, art:0.1135
For net: FNN_small, radius: 0.1, repair_number: 1000, prdnn:0.0, care:0.0, art:0.098
For net: FNN_small, radius: 0.3, repair_number: 1000, prdnn:0.0, care:0.0, art:0.098
For net: FNN_big, radius: 0.05, repair_number: 50, prdnn:0.3832, care:0.3767, art:0.1135
For net: FNN_big, radius: 0.1, repair_number: 50, prdnn:0.0071, care:0.0259, art:0.0974
For net: FNN_big, radius: 0.3, repair_number: 50, prdnn:0.0, care:0.0, art:0.1135
For net: FNN_big, radius: 0.05, repair_number: 100, prdnn:0.3981, care:0.3571, art:0.1032
For net: FNN_big, radius: 0.1, repair_number: 100, prdnn:0.0092, care:0.0177, art:0.0982
For net: FNN_big, radius: 0.3, repair_number: 100, prdnn:0.0, care:0.0, art:0.1135
For net: FNN_big, radius: 0.05, repair_number: 200, prdnn:0.3316, care:0.3792, art:0.0892
For net: FNN_big, radius: 0.1, repair_number: 200, prdnn:0.0082, care:0.0262, art:0.0982
For net: FNN_big, radius: 0.3, repair_number: 200, prdnn:0.0, care:0.0, art:0.1028
For net: FNN_big, radius: 0.05, repair_number: 500, prdnn:0.2968, care:0.3545, art:0.101
For net: FNN_big, radius: 0.1, repair_number: 500, prdnn:0.0023, care:0.012, art:0.0892
For net: FNN_big, radius: 0.3, repair_number: 500, prdnn:0.0, care:0.0, art:0.1032
For net: FNN_big, radius: 0.05, repair_number: 1000, prdnn:0.2548, care:0.3677, art:0.1135
For net: FNN_big, radius: 0.1, repair_number: 1000, prdnn:0.0012, care:0.0138, art:0.1028
For net: FNN_big, radius: 0.3, repair_number: 1000, prdnn:0.0, care:0.0, art:0.1135
For net: CNN_small, radius: 0.05, repair_number: 50, prdnn:0.3746, care:0.7063, art:0.0982
For net: CNN_small, radius: 0.1, repair_number: 50, prdnn:0.0002, care:0.0831, art:0.1032
For net: CNN_small, radius: 0.3, repair_number: 50, prdnn:0.0, care:0.0, art:0.0982
For net: CNN_small, radius: 0.05, repair_number: 100, prdnn:0.2945, care:0.706, art:0.0974
For net: CNN_small, radius: 0.1, repair_number: 100, prdnn:0.0, care:0.0815, art:0.0958
For net: CNN_small, radius: 0.3, repair_number: 100, prdnn:0.0, care:0.0, art:0.0892
For net: CNN_small, radius: 0.05, repair_number: 200, prdnn:0.1036, care:0.706, art:0.0974
For net: CNN_small, radius: 0.1, repair_number: 200, prdnn:0.0, care:0.0823, art:0.0982
For net: CNN_small, radius: 0.3, repair_number: 200, prdnn:0.0, care:0.0, art:0.0892
For net: FNN_small, radius: 0.05, repair_number: 50, aprnn:0.0233
For net: FNN_small, radius: 0.1, repair_number: 50, aprnn:0.0
For net: FNN_small, radius: 0.3, repair_number: 50, aprnn:0.0
For net: FNN_small, radius: 0.05, repair_number: 100, aprnn:0.0078
For net: FNN_small, radius: 0.1, repair_number: 100, aprnn:0.0
For net: FNN_small, radius: 0.3, repair_number: 100, aprnn:0.0
For net: FNN_small, radius: 0.05, repair_number: 200, aprnn:0.0126
For net: FNN_small, radius: 0.1, repair_number: 200, aprnn:0.0
For net: FNN_small, radius: 0.3, repair_number: 200, aprnn:0.0
For net: FNN_small, radius: 0.05, repair_number: 500, aprnn:0.0526
For net: FNN_small, radius: 0.1, repair_number: 500, aprnn:0.001
For net: FNN_small, radius: 0.3, repair_number: 500, aprnn:0.0
For net: FNN_small, radius: 0.05, repair_number: 1000, aprnn:0.0091
For net: FNN_small, radius: 0.1, repair_number: 1000, aprnn:0.0021
For net: FNN_small, radius: 0.3, repair_number: 1000, aprnn:0.0
For net: FNN_big, radius: 0.05, repair_number: 50, aprnn:0.3166
For net: FNN_big, radius: 0.1, repair_number: 50, aprnn:0.0112
For net: FNN_big, radius: 0.3, repair_number: 50, aprnn:0.0
For net: FNN_big, radius: 0.05, repair_number: 100, aprnn:0.1903
For net: FNN_big, radius: 0.1, repair_number: 100, aprnn:0.0001
For net: FNN_big, radius: 0.3, repair_number: 100, aprnn:0.0
For net: FNN_big, radius: 0.05, repair_number: 200, aprnn:0.1276
For net: FNN_big, radius: 0.1, repair_number: 200, aprnn:0.0006
For net: FNN_big, radius: 0.3, repair_number: 200, aprnn:0.0
For net: FNN_big, radius: 0.05, repair_number: 500, aprnn:0.0168
For net: FNN_big, radius: 0.1, repair_number: 500, aprnn:0.0
For net: FNN_big, radius: 0.3, repair_number: 500, aprnn:0.0
For net: FNN_big, radius: 0.05, repair_number: 1000, aprnn:0.0177
For net: FNN_big, radius: 0.1, repair_number: 1000, aprnn:0.0
For net: FNN_big, radius: 0.3, repair_number: 1000, aprnn:0.0
For net: CNN_small, radius: 0.05, repair_number: 50, aprnn:0.7038
For net: CNN_small, radius: 0.1, repair_number: 50, aprnn:0.0871
For net: CNN_small, radius: 0.3, repair_number: 50, aprnn:0.0
For net: CNN_small, radius: 0.05, repair_number: 100, aprnn:0.6923
For net: CNN_small, radius: 0.1, repair_number: 100, aprnn:0.086
For net: CNN_small, radius: 0.3, repair_number: 100, aprnn:0.0
For net: CNN_small, radius: 0.05, repair_number: 200, aprnn:0.706
For net: CNN_small, radius: 0.1, repair_number: 200, aprnn:0.0916
For net: CNN_small, radius: 0.3, repair_number: 200, aprnn:0.0
For net: CNN_small, radius: 0.05, repair_number: 500, aprnn:0.714
For net: CNN_small, radius: 0.1, repair_number: 500, aprnn:0.0844
For net: CNN_small, radius: 0.3, repair_number: 500, aprnn:0.0
For net: CNN_small, radius: 0.05, repair_number: 1000, aprnn:0.6569
For net: CNN_small, radius: 0.1, repair_number: 1000, aprnn:0.046
For net: CNN_small, radius: 0.3, repair_number: 1000, aprnn:0.0
For net: FNN_small, radius: 0.05, repair_number: 50, adv_training:0.0944
For net: FNN_big, radius: 0.05, repair_number: 50, adv_training:0.5347
For net: CNN_small, radius: 0.05, repair_number: 50, adv_training:0.8699
For net: FNN_small, radius: 0.1, repair_number: 50, adv_training:0.098
For net: FNN_big, radius: 0.1, repair_number: 50, adv_training:0.018
For net: CNN_small, radius: 0.1, repair_number: 50, adv_training:0.4489
For net: FNN_small, radius: 0.3, repair_number: 50, adv_training:0.098
For net: FNN_big, radius: 0.3, repair_number: 50, adv_training:0.0
For net: CNN_small, radius: 0.3, repair_number: 50, adv_training:0.0
For net: FNN_small, radius: 0.05, repair_number: 100, adv_training:0.098
For net: FNN_big, radius: 0.05, repair_number: 100, adv_training:0.549
For net: CNN_small, radius: 0.05, repair_number: 100, adv_training:0.8824
For net: FNN_small, radius: 0.1, repair_number: 100, adv_training:0.098
For net: FNN_big, radius: 0.1, repair_number: 100, adv_training:0.0398
For net: CNN_small, radius: 0.1, repair_number: 100, adv_training:0.4851
For net: FNN_small, radius: 0.3, repair_number: 100, adv_training:0.098
For net: FNN_big, radius: 0.3, repair_number: 100, adv_training:0.0
For net: CNN_small, radius: 0.3, repair_number: 100, adv_training:0.0
For net: FNN_small, radius: 0.05, repair_number: 200, adv_training:0.098
For net: FNN_big, radius: 0.05, repair_number: 200, adv_training:0.5704
For net: CNN_small, radius: 0.05, repair_number: 200, adv_training:0.8994
For net: FNN_small, radius: 0.1, repair_number: 200, adv_training:0.098
For net: FNN_big, radius: 0.1, repair_number: 200, adv_training:0.0487
For net: CNN_small, radius: 0.1, repair_number: 200, adv_training:0.5333
For net: FNN_small, radius: 0.3, repair_number: 200, adv_training:0.098
For net: FNN_big, radius: 0.3, repair_number: 200, adv_training:0.0
For net: CNN_small, radius: 0.3, repair_number: 200, adv_training:0.0
For net: FNN_small, radius: 0.05, repair_number: 500, adv_training:0.098
For net: FNN_big, radius: 0.05, repair_number: 500, adv_training:0.6123
For net: CNN_small, radius: 0.05, repair_number: 500, adv_training:0.912
For net: FNN_small, radius: 0.1, repair_number: 500, adv_training:0.098
For net: FNN_big, radius: 0.1, repair_number: 500, adv_training:0.0544
For net: CNN_small, radius: 0.1, repair_number: 500, adv_training:0.6244
For net: FNN_small, radius: 0.3, repair_number: 500, adv_training:0.098
For net: FNN_big, radius: 0.3, repair_number: 500, adv_training:0.0
For net: CNN_small, radius: 0.3, repair_number: 500, adv_training:0.0
For net: FNN_small, radius: 0.05, repair_number: 1000, adv_training:0.098
For net: FNN_big, radius: 0.05, repair_number: 1000, adv_training:0.6617
For net: CNN_small, radius: 0.05, repair_number: 1000, adv_training:0.9208
For net: FNN_small, radius: 0.1, repair_number: 1000, adv_training:0.098
For net: FNN_big, radius: 0.1, repair_number: 1000, adv_training:0.0923
For net: CNN_small, radius: 0.1, repair_number: 1000, adv_training:0.678
For net: FNN_small, radius: 0.3, repair_number: 1000, adv_training:0.098
For net: FNN_big, radius: 0.3, repair_number: 1000, adv_training:0.0
For net: CNN_small, radius: 0.3, repair_number: 1000, adv_training:0.0
For net: CNN_small, radius: 0.05, repair_number: 50, P_big:0.9662
For net: CNN_small, radius: 0.05, repair_number: 50, big_label:0.9662
For net: CNN_small, radius: 0.05, repair_number: 100, P_big:0.9827
For net: CNN_small, radius: 0.05, repair_number: 100, big_label:0.9827
