For vgg19 500 8 : repair:0.94, attack:0.96, test:0.7957, time:104.20188736915588, epoch:50
For vgg19 500 8 : repair:0.96, attack:1.0, test:0.827, time:210.95662760734558, epoch:100
For vgg19 500 8 : repair:0.964, attack:0.96, test:0.8228, time:313.4106583595276, epoch:150
For vgg19 500 8 : repair:0.956, attack:0.98, test:0.8161, time:417.61556601524353, epoch:200
For vgg19 1000 8 : repair:0.934, attack:0.938, test:0.9373, time:40.952571630477905, epoch:10
For vgg19 1000 8 : repair:0.952, attack:0.99, test:0.9553, time:81.18424797058105, epoch:20
For vgg19 1000 8 : repair:0.95, attack:0.987, test:0.9509, time:206.8043942451477, epoch:50
For vgg19 1000 8 : repair:0.979, attack:0.993, test:0.9785, time:412.41278886795044, epoch:100
For vgg19 1000 8 : repair:0.963, attack:0.981, test:0.965, time:607.3020977973938, epoch:150
For vgg19 1000 8 : repair:0.96, attack:0.99, test:0.9614, time:806.7665944099426, epoch:200
For resnet18 50 4 : repair:1.0, attack:1.0, test:0.4538, time:57.07813119888306, epoch:200
For resnet18 100 4 : repair:0.99, attack:0.9, test:0.366, time:107.80327463150024, epoch:200
For resnet18 200 4 : repair:1.0, attack:1.0, test:0.5533, time:186.69340801239014, epoch:200
For resnet18 500 4 : repair:0.998, attack:1.0, test:0.7544, time:405.0194067955017, epoch:200
For resnet18 1000 4 : repair:0.995, attack:0.991, test:0.9951, time:794.2673325538635, epoch:200
For resnet18 50 8 : repair:1.0, attack:1.0, test:0.3794, time:57.85180592536926, epoch:200
For resnet18 100 8 : repair:0.96, attack:0.9, test:0.3694, time:107.76546835899353, epoch:200
For resnet18 200 8 : repair:0.995, attack:1.0, test:0.5913, time:184.0863163471222, epoch:200
For resnet18 500 8 : repair:0.994, attack:1.0, test:0.7465, time:408.1091272830963, epoch:200
For resnet18 1000 8 : repair:0.969, attack:0.973, test:0.9725, time:790.6128168106079, epoch:200
For vgg19 50 4 : repair:0.88, attack:0.6, test:0.4316, time:3571.924599170685, epoch:200
For vgg19 100 4 : repair:0.82, attack:0.8, test:0.5015, time:3572.6059670448303, epoch:200
For vgg19 200 4 : repair:0.795, attack:0.9, test:0.5364, time:3569.710619211197, epoch:200
For vgg19 500 4 : repair:0.73, attack:0.742, test:0.6327, time:3570.3894662857056, epoch:200
For vgg19 1000 4 : repair:0.766, attack:0.76, test:0.7691, time:3564.21609044075, epoch:200
For vgg19 50 8 : repair:0.7, attack:0.42, test:0.3874, time:3570.5898122787476, epoch:200
For vgg19 100 8 : repair:0.7, attack:0.7, test:0.4277, time:3571.1957716941833, epoch:200
For vgg19 200 8 : repair:0.66, attack:0.75, test:0.4404, time:3569.6457228660583, epoch:200
For vgg19 500 8 : repair:0.706, attack:0.764, test:0.6168, time:3564.8370218276978, epoch:200
For vgg19 1000 8 : repair:0.764, attack:0.832, test:0.7703, time:3567.6001608371735, epoch:200
For resnet18 50 4 : repair:1.0, attack:1.0, test:0.4535, time:1238.6553826332092, epoch:200
For resnet18 100 4 : repair:1.0, attack:1.0, test:0.5497, time:1250.846390247345, epoch:200
For resnet18 200 4 : repair:0.965, attack:0.95, test:0.6268, time:1322.0530049800873, epoch:200
For resnet18 500 4 : repair:0.926, attack:0.964, test:0.7439, time:1317.5386126041412, epoch:200
For resnet18 1000 4 : repair:0.919, attack:0.94, test:0.9221, time:1237.807463169098, epoch:200
For resnet18 50 8 : repair:0.92, attack:1.0, test:0.4556, time:1322.4660947322845, epoch:200
For resnet18 100 8 : repair:0.86, attack:0.95, test:0.4666, time:1233.8881871700287, epoch:200
For resnet18 200 8 : repair:0.8, attack:0.805, test:0.517, time:1315.6180827617645, epoch:200
For resnet18 500 8 : repair:0.884, attack:0.962, test:0.7205, time:1386.924861907959, epoch:200
For resnet18 1000 8 : repair:0.768, attack:0.789, test:0.7779, time:1269.2200515270233, epoch:200
For vgg19 50 4 : repair:0.98, attack:1.0, test:0.4799, time:96.22480726242065, epoch:200
For vgg19 100 4 : repair:0.95, attack:0.9, test:0.5483, time:156.75611686706543, epoch:200
For vgg19 200 4 : repair:0.965, attack:0.9, test:0.6256, time:245.30857467651367, epoch:200
For vgg19 500 4 : repair:0.968, attack:0.97, test:0.7836, time:440.0721216201782, epoch:200
For vgg19 1000 4 : repair:0.972, attack:0.983, test:0.9714, time:892.516190290451, epoch:200
For vgg19 50 8 : repair:1.0, attack:1.0, test:0.4172, time:77.99555826187134, epoch:200
For vgg19 100 8 : repair:1.0, attack:1.0, test:0.5379, time:129.4645013809204, epoch:200
For vgg19 200 8 : repair:0.935, attack:0.95, test:0.6779, time:210.32443928718567, epoch:200
For vgg19 500 8 : repair:0.96, attack:0.98, test:0.8128, time:465.9748332500458, epoch:200
For vgg19 1000 8 : repair:0.976, attack:0.991, test:0.9759, time:900.9727511405945, epoch:200
For resnet18 50 4 : repair:1.0, attack:1.0, test:0.4457, time:74.67071151733398, epoch:200
For resnet18 100 4 : repair:1.0, attack:1.0, test:0.4501, time:130.18048214912415, epoch:200
For resnet18 200 4 : repair:1.0, attack:1.0, test:0.5694, time:224.82452297210693, epoch:200
For resnet18 500 4 : repair:0.998, attack:1.0, test:0.7636, time:493.3307821750641, epoch:200
For resnet18 1000 4 : repair:0.994, attack:0.99, test:0.9939, time:1063.3009939193726, epoch:200
For resnet18 50 8 : repair:1.0, attack:1.0, test:0.3473, time:85.3656268119812, epoch:200
For resnet18 100 8 : repair:0.96, attack:1.0, test:0.4142, time:155.3543620109558, epoch:200
For resnet18 200 8 : repair:0.995, attack:1.0, test:0.5673, time:261.4230577945709, epoch:200
For resnet18 500 8 : repair:0.986, attack:0.986, test:0.7411, time:462.14817476272583, epoch:200
For resnet18 1000 8 : repair:0.977, attack:0.99, test:0.9782, time:1021.7654073238373, epoch:200
For vgg19 50 4 : repair:0.98, attack:1.0, test:0.7478, time:86.36894536018372, epoch:200
For vgg19 100 4 : repair:0.95, attack:0.86, test:0.8154, time:158.0698263645172, epoch:200
For vgg19 200 4 : repair:0.97, attack:0.9, test:0.8574, time:255.5640058517456, epoch:200
For vgg19 500 4 : repair:0.95, attack:0.976, test:0.8712, time:525.7591412067413, epoch:200
For vgg19 1000 4 : repair:0.964, attack:0.97, test:0.8728, time:905.7461438179016, epoch:200
For vgg19 50 8 : repair:1.0, attack:1.0, test:0.6762, time:69.62349939346313, epoch:200
For vgg19 100 8 : repair:0.97, attack:1.0, test:0.7494, time:122.72884559631348, epoch:200
For vgg19 200 8 : repair:0.935, attack:0.95, test:0.8194, time:204.29448533058167, epoch:200
For vgg19 500 8 : repair:0.956, attack:0.98, test:0.8493, time:442.5677101612091, epoch:200
For vgg19 1000 8 : repair:0.958, attack:0.989, test:0.8508, time:929.5923156738281, epoch:200
For resnet18 50 4 : repair:1.0, attack:1.0, test:0.5906, time:78.36532378196716, epoch:200
For resnet18 100 4 : repair:0.99, attack:1.0, test:0.4495, time:156.64154648780823, epoch:200
For resnet18 200 4 : repair:1.0, attack:1.0, test:0.6817, time:262.8993146419525, epoch:200
For resnet18 500 4 : repair:0.998, attack:1.0, test:0.7392, time:535.7024762630463, epoch:200
For resnet18 1000 4 : repair:0.995, attack:1.0, test:0.7821, time:941.2896506786346, epoch:200
For resnet18 50 8 : repair:1.0, attack:1.0, test:0.5015, time:74.36183786392212, epoch:200
For resnet18 100 8 : repair:1.0, attack:1.0, test:0.5345, time:128.56083822250366, epoch:200
For resnet18 200 8 : repair:1.0, attack:1.0, test:0.7238, time:217.57519459724426, epoch:200
For resnet18 500 8 : repair:0.998, attack:1.0, test:0.7638, time:519.9394950866699, epoch:200
For resnet18 1000 8 : repair:0.968, attack:0.991, test:0.7822, time:972.4324238300323, epoch:200
