Model,radius,num,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,RGR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%,DGSR/%
,,,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours
CNN_small,0.05,100,29.4,74.5,65.6,45.7,100.0,60.0,100.0,1.0,0.0,10.0,0.0,86.0,27.0,0.0,70.6,29.4,69.2,0.0,88.2,9.7,89.0
CNN_small,0.05,200,27.6,79.8,62.5,50.9,97.0,0.0,100.0,1.0,0.0,3.0,0.0,84.0,20.5,0.0,70.6,10.4,70.6,0.0,89.9,9.7,91.4
CNN_small,0.05,500,30.8,89.0,62.3,--,92.4,--,100.0,100.0,100.0,0.8,--,87.0,--,0.0,70.6,4.3,71.4,0.0,91.2,--,93.1
CNN_small,0.05,1000,32.9,92.2,63.8,--,90.8,--,100.0,100.0,100.0,0.2,--,86.8,--,0.0,70.7,0.8,65.7,0.0,92.1,--,94.2
CNN_small,0.1,50,12.2,53.0,41.0,10.4,80.0,0.0,100.0,2.0,0.0,2.0,0.0,50.0,8.0,0.0,8.3,0.0,8.7,0.0,44.9,10.3,95.3
CNN_small,0.1,100,22.2,69.1,46.0,14.7,88.0,10.0,100.0,1.0,0.0,0.0,0.0,57.0,11.0,0.0,8.2,0.0,8.6,0.0,48.5,9.6,95.4
CNN_small,0.1,200,21.8,73.2,46.1,13.0,96.5,20.0,100.0,0.5,0.0,0.5,0.0,62.0,11.0,0.0,8.2,0.0,9.2,0.0,53.3,9.8,96.1
CNN_small,0.1,500,30.4,84.5,47.0,--,93.2,--,100.0,100.0,100.0,0.0,--,66.6,--,0.0,8.2,0.0,8.4,0.0,62.4,--,96.1
CNN_small,0.1,1000,24.6,90.3,48.7,--,94.7,--,100.0,100.0,100.0,0.0,--,70.1,--,0.0,8.3,0.0,4.6,0.0,67.8,--,93.8
CNN_small,0.3,50,0.0,44.8,70.0,4.0,0.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,98.2
CNN_small,0.3,100,0.0,59.9,75.5,2.7,13.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,98.1
CNN_small,0.3,200,0.0,69.4,78.2,3.6,12.5,0.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,98.0
CNN_small,0.3,500,1.3,79.6,73.3,--,12.6,--,100.0,100.0,100.0,0.0,--,0.0,--,0.0,0.0,0.0,0.0,0.0,0.0,--,98.2
CNN_small,0.3,1000,1.1,85.9,70.6,--,16.0,--,100.0,100.0,100.0,0.0,--,0.0,--,100.0,0.0,0.0,0.0,0.0,0.0,--,98.2
