,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,vgg19,resnet18,resnet18,resnet18,resnet18,resnet18,resnet18,resnet18,resnet18,resnet18
radius,4,4,4,4,4,8,8,8,8,8,4,4,4,4,4,8,8,8,8,8
number,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000,50,100,200,500,1000
RSR/%,10.0,18.0,16.5,18.2,16.7,10.0,9.0,14.5,11.8,11.6,12.0,18.0,16.5,16.2,16.2,10.0,8.0,12.0,11.6,11.3
RGR/%,10.0,18.0,16.5,18.2,16.7,10.0,9.0,14.5,11.8,11.6,12.0,18.0,16.5,16.2,16.2,10.0,8.0,12.0,11.6,11.3
DSR/%,6.0,4.0,2.5,1.8,1.3,6.0,6.0,3.0,2.0,1.3,4.0,1.0,3.5,1.8,1.3,8.0,6.0,4.0,4.8,4.1
DSGR/%,5.8,5.2,3.9,3.9,3.8,5.7,5.6,2.1,1.9,1.9,5.2,1.5,1.5,1.5,1.4,7.8,7.2,5.3,4.8,4.8
