Model,radius,num,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,RSR/%,DD/%,DD/%,DD/%,DD/%,DD/%,DD/%,DD/%,Time/s,Time/s,Time/s,Time/s,Time/s,Time/s,Time/s
,,,CARE,PRDNN,APRNN,REASSU,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours,CARE,PRDNN,APRNN,REASS,TRADE,ART,Ours
CNN_small,0.05,100,0.0,100.0,100.0,100.0,92.0,60.0,100.0,2.4,0.7,0.1,0.0,0.2,88.5,0.0,6.0,5.1,99.0,910.7,10.3,879.0,23.4
CNN_small,0.05,200,0.0,100.0,100.0,100.0,88.0,0.0,100.0,2.7,1.0,0.0,0.0,0.0,88.5,0.0,9.8,19.0,182.9,1825.6,18.0,969.9,83.6
CNN_small,0.05,500,0.0,100.0,100.0,--,92.2,--,100.0,3.4,1.2,-0.1,--,-0.0,--,0.0,26.9,146.2,547.8,--,40.4,--,221.9
CNN_small,0.05,1000,0.0,100.0,100.0,--,91.2,--,100.0,7.5,1.8,0.0,--,-0.0,--,0.0,38.1,549.1,1611.6,--,80.9,--,1001.9
CNN_small,0.1,50,0.0,100.0,100.0,100.0,94.0,0.0,100.0,0.6,1.0,0.1,0.0,0.4,88.0,0.0,2.6,45.6,56.6,456.0,5.7,938.0,12.7
CNN_small,0.1,100,0.0,100.0,100.0,100.0,94.0,10.0,100.0,1.3,1.0,0.1,0.0,0.7,88.7,0.0,5.1,9.8,104.8,896.8,10.4,1022.8,29.5
CNN_small,0.1,200,0.0,100.0,100.0,100.0,91.5,20.0,100.0,2.8,2.2,0.3,0.0,0.4,88.5,0.0,8.1,41.1,178.5,1800.8,17.7,1108.1,75.1
CNN_small,0.1,500,0.0,100.0,100.0,--,91.6,--,100.0,9.1,1.7,0.4,--,0.5,--,0.0,24.9,139.2,458.5,--,40.6,--,337.0
CNN_small,0.1,1000,0.0,100.0,100.0,--,92.8,--,100.0,5.4,2.4,0.2,--,0.5,--,0.0,32.0,492.7,1526.0,--,80.4,--,700.2
CNN_small,0.3,50,0.0,100.0,100.0,100.0,0.0,10.0,100.0,0.0,43.2,7.2,0.0,0.8,88.5,0.0,2.2,3.8,59.9,453.8,5.6,808.2,15.0
CNN_small,0.3,100,0.0,100.0,100.0,100.0,0.0,10.0,100.0,0.0,38.8,5.0,0.0,0.2,89.3,0.0,2.6,29.4,105.4,907.5,10.1,899.5,32.6
CNN_small,0.3,200,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,36.8,3.6,0.0,0.2,89.3,0.0,4.6,59.9,196.2,1793.7,17.8,1014.7,87.9
CNN_small,0.3,500,0.0,100.0,100.0,--,0.2,--,100.0,0.5,48.8,3.2,--,0.3,--,0.0,9.2,167.9,518.8,--,39.9,--,361.4
CNN_small,0.3,1000,0.0,100.0,100.0,--,0.6,--,100.0,0.1,56.5,2.2,--,0.4,--,0.0,16.8,423.8,1667.0,--,80.4,--,1282.6
