Model,r,n,RSR/%,RSR/%,RSR/%,RGR/%,RGR/%,RGR/%,DD/%,DD/%,DD/%,DSR/%,DSR/%,DSR/%,DGSR/%,DGSR/%,DGSR/%,Time/s,Time/s,Time/s
,,,CARE,TRADE,Ours,CARE,TRADE,Ours,CARE,TRADE,Ours,CARE,TRADE,Ours,CARE,TRADE,Ours,CARE,TRADE,Ours
WRN,2,500,0.0,100.0,100.0,1.2,100.0,100.0,0.1,46.8,0.0,0.0,100.0,100.0,0.0,6.6,64.4,768.7,5040.8,2029.6
WRN,2,1000,0.0,100.0,100.0,0.5,100.0,100.0,0.0,43.2,0.0,0.0,100.0,100.0,0.0,7.3,64.4,1345.7,7088.6,3260.7
WRN,4,500,0.0,100.0,100.0,0.0,100.0,100.0,0.0,51.8,0.0,0.0,97.6,100.0,0.0,1.8,64.4,721.9,4985.5,1731.8
WRN,4,1000,0.0,100.0,100.0,0.0,100.0,100.0,0.1,49.5,0.0,0.0,97.2,100.0,0.0,2.1,64.4,1440.8,6976.2,3221.2
resnet152,2,500,0.0,100.0,100.0,0.0,100.0,100.0,-0.0,64.5,0.0,0.0,100.0,100.0,0.0,5.2,68.2,545.3,4667.7,2219.6
resnet152,2,1000,0.0,100.0,100.0,0.0,100.0,100.0,-0.0,62.6,0.0,0.0,99.9,100.0,0.0,6.1,68.2,1092.9,7503.5,4703.7
resnet152,4,500,0.0,100.0,100.0,0.0,100.0,100.0,-0.0,64.5,0.0,0.0,97.6,100.0,0.0,1.3,68.2,535.4,4624.2,2336.1
resnet152,4,1000,0.0,100.0,100.0,0.0,100.0,100.0,-0.0,63.6,0.0,0.0,98.5,100.0,0.0,2.0,68.2,1028.1,7499.9,4366.8
